TYP	SPECIES	H2O	H+	O2(aq)	SiO2(aq)	Al+3	Fe+2	Mg+2	Ca+2	Na+	K+	HCO3-	Cl-	F-	HPO4-2	SO4-2	B(OH)3(aq)	NO3-	Mn+2	CrO4-2	Ni+2	Cu+2	Zn+2	MoO4-2	H2AsO4-	Sr+2	Ba+2	Pb+2	
MIN	Bunsenite	1	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
MIN	Burkeite	0	-1	0	0	0	0	0	0	6	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	C	-1	1	-1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Ca	1	-2	-0.5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Ca-Al_Pyroxene	4	-8	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Ca2Al2O5.8H2O	13	-10	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Ca2Cl2(OH)2.H2O	3	-2	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Ca3(AsO4)2	0	-4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
MIN	Ca3Al2O6	6	-12	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Ca4Al2Fe2O10	9	-18	0.5	0	2	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Ca4Al2O7.13H2O	20	-14	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Ca4Al2O7.19H2O	26	-14	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Ca4Cl2(OH)6.13H2O	19	-6	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	CaAl2O4	4	-8	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	CaAl2O4.10H2O	14	-8	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	CaAl4O7	7	-14	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	CaSO4.0.5H2O(beta)	0.5	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Calcite	0	-1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	CalciteTang	0	-1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Vaterite	0	-1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Carnallite	6	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Celadonite	4	-6	0	4	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Celestite	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
MIN	Cerussite	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
MIN	Chalcanthite	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	
MIN	Chalcedony	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Chalcocyanite	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	
MIN	Chamosite-7A	7	-10	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Chloromagnesite	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Chromite	-1	2	-1.5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	
MIN	Chrysocolla	3	-2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
MIN	Chrysotile	5	-6	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Claudetite	-3	2	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
MIN	Clinochlore-14A	12	-16	0	3	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Clinochlore-7A	12	-16	0	3	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Clinoptilolite	17.85	-13.85	0.00425	14.53	3.45	0.017	0.124	0.761	0.954	0.543	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0.036	0.062	0	
MIN	Clinoptilolite-Ca	17.85	-13.85	0.00425	14.53	3.45	0.017	0	1.734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Clinoptilolite-K	17.85	-13.85	0.00425	14.53	3.45	0.017	0	0	0	3.467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Clinoptilolite-Na	17.85	-13.85	0.00425	14.53	3.45	0.017	0	0	3.467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Clinoptilolite-Sr	17.85	-13.85	0.00425	14.53	3.45	0.017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.734	0	0	
MIN	Clinoptilolite-dehy	6.926	-13.85	0.00425	14.53	3.45	0.017	0.124	0.761	0.954	0.543	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0.036	0.062	0	
MIN	Clinoptilolite-dehy-Ca	6.926	-13.85	0.00425	14.53	3.45	0.017	0	1.734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Clinoptilolite-dehy-K	6.926	-13.85	0.00425	14.53	3.45	0.017	0	0	0	3.467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Clinoptilolite-dehy-Na	6.926	-13.85	0.00425	14.53	3.45	0.017	0	0	3.467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Clinoptilolite-dehy-Sr	6.926	-13.85	0.00425	14.53	3.45	0.017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.734	0	0	
MIN	Clinoptilolite-hy-Ca	18.57	-13.85	0.00425	14.53	3.45	0.017	0	1.734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Clinoptilolite-hy-K	14.42	-13.85	0.00425	14.53	3.45	0.017	0	0	0	3.467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Clinoptilolite-hy-Na	17.8	-13.85	0.00425	14.53	3.45	0.017	0	0	3.467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Clinoptilolite-hy-Sr	20.82	-13.85	0.00425	14.53	3.45	0.017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.734	0	0	
MIN	Clinozoisite	7	-13	0	3	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Coesite	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Colemanite	-2	-4	0	0	0	0	0	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	
MIN	Cordierite_anhyd	8	-16	0	5	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Cordierite_hydr	9	-16	0	5	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
