TYP	SPECIES	H2O	H+	O2(aq)	H4(SiO4)	Al+3	Fe+2	Mg+2	Ca+2	Na+	K+	CO3-2	Cl-	F-	H2(PO4)-	SO4-2	B(OH)4-	NO3-	Mn+2	CrO4-2	Ni+2	Cu+2	Zn+2	MoO4-2	AsO4-3	Sr+2	Ba+2	Pb+2	
MIN	Ca4Al2O6(CrO4):15H2O	21	-12	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
MIN	Ca4Cl2(OH)6:13H2O	19	-6	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Ca4H(PO4)3:2.5H2O	2.5	-5	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Ca6(Al(OH)6)2(CrO4)3(H2O)26	38	-12	0	0	2	0	0	6	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	
MIN	CaB2O4	-4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
MIN	CaB4O7	-9	2	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	
MIN	CaCO3(H2O)	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	CaCl2(H2O)2	2	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	CaCl2(H2O)4	4	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	CaCl2(H2O)	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	CaCrO4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
MIN	CaF2(H2O)6	6	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	CaFe2O4	3	-6	0.5	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	CaMg3(CO3)4	0	0	0	0	0	0	3	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	CaMoO4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
MIN	CaO	1	-2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Calcite	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Carnallite	6	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Celadonite-Fe	-4	-6	0	4	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Celadonite-Mg	-4	-6	0	4	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Celestite	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	
MIN	Cerussite	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
MIN	Chabazite	2	-8	0	4	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Chamosite	6	-16	0	3	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Chloroapatite	0	-6	0	0	0	0	0	5	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Chromite	-1	2	-1.5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	
MIN	Claudetite	-3	6	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	
MIN	Clinochlore	6	-16	0	3	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Clinoptilolite_Ca	-3.7	-4.4	0	4.9	1.1	0	0	0.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Clinoptilolite_K	-4.9	-4.4	0	4.9	1.1	0	0	0	0	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Clinoptilolite_Na	-4.1	-4.4	0	4.9	1.1	0	0	0	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Corundum	3	-6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIN	Cotunnite	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
MIN	Cr(OH)2(H2PO4)	-0.5	3	-0.75	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	
MIN	Cr(OH)2	0	2	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
MIN	Cr(OH)3	0.5	2	-0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
MIN	Cr	-1	2	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
MIN	Cr2(SO4)3	-5	10	-1.5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	
MIN	Cr2O3	-2	4	-1.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	
MIN	Cr2S3	-5	10	-7.5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	
MIN	CrCl2	-2	4	-1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
MIN	CrCl3	-2.5	5	-0.75	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
