TYPE	SOURCE	INDEX	NAME	ECFORM	SIZE	PARAMETERS	
MIN	THCv9b0	_0382	As	As(1)	1	-54.88	
MIN	THCv9b0	_0383	As2O5	As(2)O(5)	1	35.34	
MIN	THCv9b0	_0384	B(OH)3	B(1)O(3)H(3)	1	9.31	
MIN	THCv9b0	_0385	B	B(1)	1	-100.4	
MIN	THCv9b0	_0386	B2O3(am)	B(2)O(3)	1	10.63	
MIN	THCv9b0	_0387	B2O3	B(2)O(3)	1	12.74	
MIN	THCv9b0	_0388	Ba(OH)2(H2O)8	Ba(1)O(10)H(18)	1	-23.87	
MIN	THCv9b0	_0389	Ba	Ba(1)	1	-140.7	
MIN	THCv9b0	_0390	BaCl2	Cl(2)Ba(1)	1	-2.3	
MIN	THCv9b0	_0391	BaCl2(H2O)2	Cl(2)Ba(1)O(2)H(4)	1	0.34	
MIN	THCv9b0	_0392	BaCl2(H2O)	Cl(2)Ba(1)O(1)H(2)	1	-0.28	
MIN	THCv9b0	_0393	BaF2	F(2)Ba(1)	1	6.32	
MIN	THCv9b0	_0394	BaHPO4	P(1)Ba(1)O(4)H(1)	1	0.19	
MIN	THCv9b0	_0395	BaMoO4	Mo(1)Ba(1)O(4)	1	7.83	
MIN	THCv9b0	_0396	BaO	Ba(1)O(1)	1	-48.07	
MIN	THCv9b0	_0397	BaS	S(1)Ba(1)	1	-153.9	
MIN	THCv9b0	_0398	Barite	S(1)Ba(1)O(4)	1	9.97	
MIN	THCv9b0	_0399	Bassanite	Ca(100)S(100)O(450)H(100)Div(100)	1	3.92	
MIN	THCv9b0	_0400	Beidellite-Ca	Si(366)Al(234)Ca(17)O(1200)H(200)Div(100)	134.1	-5.77	
MIN	THCv9b0	_0401	Beidellite-K	Si(366)Al(234)K(34)O(1200)H(200)Div(100)	133.2	-4.6	
MIN	THCv9b0	_0402	Beidellite-Mg	Si(366)Al(234)Mg(17)O(1200)H(200)Div(100)	130.1	-5.23	
MIN	THCv9b0	_0403	Beidellite-Na	Si(366)Al(234)Na(34)O(1200)H(200)Div(100)	132.5	-5.1	
MIN	THCv9b0	_0404	Beidellite_SBld-	Si(357.4)Al(223.8)Fe(11.2)Mg(9)Ca(18.5)K(10.4)O(1200)H(200)Div(100)	138	-6.64	
!MIN	THCv9b0	_0405	Beidellite_SBld-1(4.576H2O)	Si(357.4)Al(223.8)Fe(11.2)Mg(9)Ca(18.5)K(10.4)O(1657.6)H(1115.2)Div(100)	220.7	-3.34	
!MIN	THCv9b0	_0406	Berlinite	Al(1)P(1)O(4)	1	0.57	
MIN	THCv9b0	_0407	Berthierine(FeII)	Si(1)Al(2)Fe(2)O(9)H(4)	103.9	-34.56	
MIN	THCv9b0	_0408	Berthierine(FeIII)	Si(134)Al(99)Fe(267)O(900)H(400)Div(100)	103.3	-26	
